cell,scaling,rank,n,acc_mean,acc_std,f1_CG_mean,f1_CG_std,roc_auc_mean,pr_auc_mean,best_step_mean,runtime_s_mean,peak_alloc_gb,peak_reserved_gb
rs/r8,rs,8,3,0.9731496666666667,0.003384176758583024,0.972542,0.003439303853979763,0.9963303333333333,0.995946,2666.6666666666665,4011.9333333333334,1.7033333333333334,4.826666666666667
rs/r16,rs,16,3,0.9786846666666666,0.000816373280634146,0.9782513333333334,0.0009763320814832069,0.9967273333333333,0.996206,2400.0,3988.4,1.75,4.866666666666667
rs/r32,rs,32,3,0.9813933333333333,0.0016787689934393529,0.9810526666666667,0.0017169893224284367,0.9975986666666666,0.997057,1300.0,2876.4666666666667,1.8333333333333335,4.956666666666667
rs/r64,rs,64,5,0.9872105999999999,0.0007759306025670169,0.9869114,0.0007979384688057269,0.9978872,0.9971061999999999,1420.0,3237.78,2.032,4.644
standard/r8,standard,8,3,0.9600773333333333,0.002213294452469732,0.9592113333333333,0.00224345277047082,0.9928973333333333,0.9922503333333333,2833.3333333333335,7545.566666666666,1.7033333333333334,4.783333333333333
standard/r16,standard,16,3,0.9704413333333334,0.0007966218257952815,0.96978,0.0008490182565763984,0.995792,0.995387,2700.0,9548.966666666667,1.75,4.826666666666667
standard/r32,standard,32,3,0.972973,0.003825380503949913,0.9723256666666666,0.003860601550708565,0.9962840000000001,0.995957,2200.0,5969.0,1.8333333333333335,4.916666666666667
standard/r64,standard,64,3,0.9779193333333334,0.000934517165884803,0.9774483333333334,0.0010537373170451073,0.9966923333333333,0.9960993333333333,2433.3333333333335,4185.666666666667,2.033333333333333,5.3533333333333335
